company,ticker,event,day0,event_type,source_type,included,exclusion_reason,leakage_mean,react_mean,drift_mean,react_peer,drift_peer,raw_day0_return,leakage_days,reaction_days,drift_days,drift_full
Zhipu,02513.HK,GLM-5,2026-02-11,capability,official model release,True,,22.33,22.48,24.72,17.19,13.27,-1.7,5.0,2.0,9.0,True
Zhipu,02513.HK,GLM-5-Turbo,2026-03-16,capability,official model release,True,,-21.53,7.7,-19.32,14.61,19.2,14.15,5.0,2.0,9.0,True
Zhipu,02513.HK,GLM-5.1,2026-04-08,capability,official model release,True,,7.38,13.83,-14.21,13.4,12.88,11.49,5.0,2.0,9.0,True
Zhipu,02513.HK,GLM-5.2,2026-06-15,capability,official model release,True,,-23.24,30.83,28.16,28.66,36.75,32.82,5.0,2.0,9.0,True
Zhipu,02513.HK,GLM-5.3,2026-08-14,capability,official Z.ai model release; frontier coding and cyber capabilities,True,,26.45,-6.54,3.76,2.38,1.81,-3.57,5.0,2.0,9.0,True
MiniMax,00100.HK,M2.5,2026-02-12,capability_peer,official MiniMax release; coding agent tool-use search and office-work model,True,,-17.4,24.2,-2.09,-19.06,4.83,14.62,5.0,2.0,9.0,True
MiniMax,00100.HK,M2.7,2026-03-18,capability_peer,official model release,True,,-44.71,-5.52,-49.08,-2.27,-37.71,19.85,5.0,2.0,9.0,True
MiniMax,00100.HK,M3,2026-06-01,capability_peer,official model release; sparse attention; 1M context; native multimodality,True,,26.2,-21.09,-40.78,-9.66,-51.83,-15.71,5.0,2.0,9.0,True
Baidu,9888.HK,ERNIE 5.0,2026-02-06,large_tech_peer,official ERNIE release; unified multimodal foundation model,True,,-13.17,-0.43,-15.83,-29.21,-97.96,-2.2,5.0,2.0,9.0,True
Baidu,9888.HK,ERNIE 5.1,2026-05-11,large_tech_peer,official 2026-05-09 ERNIE release; next trading day used,True,,17.75,-4.95,-13.56,5.35,-65.47,-2.96,5.0,2.0,9.0,True
Alibaba,9988.HK,Qwen3.5,2026-02-16,large_tech_peer,launch report; core Qwen model series,True,,2.52,-4.48,-10.88,-52.82,13.69,-0.45,5.0,2.0,9.0,True
Alibaba,9988.HK,Qwen3.6-35B-A3B,2026-04-16,large_tech_peer,official Qwen model release; first open-weight Qwen3.6 variant,True,,3.0,6.53,-5.5,3.29,-7.22,5.6,5.0,2.0,9.0,True
Alibaba,9988.HK,Qwen3.7-Max,2026-05-21,large_tech_peer,official Model Studio launch; agent frontier,True,,0.17,-3.41,-2.1,-26.07,-6.57,-4.47,5.0,2.0,9.0,True
Alibaba,9988.HK,Qwen3.7-Plus,2026-06-01,large_tech_peer,user-provided Qwen release table; next trading day for 2026-05-31 multimodal Qwen3.7-Plus release,True,,-3.1,8.56,-15.9,19.94,-27.16,1.57,5.0,2.0,9.0,True
Alibaba,9988.HK,Qwen3.8-Max,2026-08-03,large_tech_peer,official Alibaba Cloud launch; first public Qwen3.8 flagship release,True,,0.74,5.26,-12.76,4.85,-22.06,7.01,5.0,2.0,9.0,True
