company,ticker,cohort,valuation_date,valuation_basis,equity_value_bn,revenue_bn,currency,revenue_basis,include_in_private_range,valuation_source_url,revenue_source_url,comparability_note,multiple_x
Zhipu,02513.HK,core_frontier,2026-09-11,public market equity value,47.338347,0.209481,USD,LTM through 2026H1,0,https://web.ifzq.gtimg.cn/appstock/app/hkfqkline/get,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0831/2026083101539.pdf,Subject company; equity value is refreshed from the local market file and post-placement share count; LTM revenue is FY2025 less H1 2025 plus H1 2026 and translated at USD/CNY 7.1.,225.979209
MiniMax,00100.HK,core_frontier,2026-09-11,public market equity value,12.088915,0.165182,USD,LTM through 2026H1,0,https://web.ifzq.gtimg.cn/appstock/app/hkfqkline/get,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0826/2026082600680.pdf,Closest listed foundation-model peer; public-market LTM multiple is shown separately from private transaction references. Price refreshed to 2026-09-11; share-count and FX basis carried forward from the 2026-08-31 snapshot.,73.185426
OpenAI,private,core_frontier,2026-03-31,post-money financing,852.0,25.0,USD,annualized revenue at February 2026,1,https://openai.com/index/accelerating-the-next-phase-ai/,https://finance.yahoo.com/news/openai-tops-25-billion-annualized-033836274.html,Private frontier-lab transaction reference; revenue was reported by Reuters and was not independently verified.,34.08
Anthropic,private,core_frontier,2026-05-28,post-money financing,965.0,47.0,USD,annualized revenue at May 2026,1,https://www.anthropic.com/news/series-h,https://www.anthropic.com/news/series-h,Private frontier-lab transaction reference with valuation and revenue disclosed together by the company.,20.531915
Mistral,private,core_frontier,2025-09-09,post-money financing,11.7,0.3,EUR,annualized revenue at September 2025,1,https://mistral.ai/news/mistral-ai-raises-1-7-b-to-accelerate-technological-progress-with-ai/,https://www.lemonde.fr/economie/article/2025/09/26/mistral-ai-incarnation-de-l-intelligence-artificielle_6643087_3234.html,Older private frontier-lab reference; included in the private transaction range but dated separately.,39.0
SenseTime,00020.HK,hk_adjacent,2026-08-31,implied total equity value,52.58377,5.567388,CNY,LTM through 2026H1,0,https://www.hkex.com.hk/chi/stat/smstat/dayquot/d260831c.htm,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0826/2026082600408.pdf,Adjacent Hong Kong AI platform; mixed computer-vision generative-AI and solution revenue makes it contextual only.,9.444962
Phancy,06682.HK,hk_adjacent,2026-08-31,implied total equity value,13.500771,8.274083,CNY,LTM through 2026H1,0,https://www.hkex.com.hk/chi/stat/smstat/dayquot/d260831c.htm,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0820/2026082000357.pdf,Enterprise AI platform and agentic services with a different revenue and margin mix; contextual only.,1.631694
Wenge AI,01956.HK,hk_adjacent,2026-09-11,implied total equity value,11.965087,0.459773,CNY,LTM through 2026H1,0,https://web.ifzq.gtimg.cn/appstock/app/hkfqkline/get,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0825/2026082500959.pdf,Decision-intelligence and project-delivery model with a short trading history; contextual only. Price refreshed to 2026-09-11; share-count and FX basis carried forward from the 2026-08-31 snapshot.,26.023902
Palantir,PLTR,commercialization_reference,2026-08-31,public market equity value,447.856263,4.475446,USD,FY2025 revenue,0,https://www.gurufocus.com/stock/PLTR/data/market-cap,https://www.sec.gov/Archives/edgar/data/1321655/000132165526000011/pltr-20251231.htm,Mature AI software commercialization reference; not a frontier-model laboratory.,100.069638
Cloudflare,NET,commercialization_reference,2026-08-31,public market equity value,108.259915,2.1679,USD,FY2025 revenue,0,https://www.tipranks.com/stocks/net/market-cap,https://www.cloudflare.com/press/press-releases/2026/cloudflare-announces-fourth-quarter-and-fiscal-year-2025-financial-results/,Connectivity and inference-infrastructure reference; economics differ from a model laboratory.,49.937689
Snowflake,SNOW,commercialization_reference,2026-08-31,public market equity value,114.87384,4.683946,USD,FY2026 revenue,0,https://finance.yahoo.com/quote/SNOW/history/,https://www.sec.gov/Archives/edgar/data/1640147/000164014726000023/snowflake2026ars.pdf,Data-cloud commercialization reference; not a direct foundation-model comparable.,24.525014
